User,Date,None,Retweet,Tweets,Label
globalextra,11/6/2016 23:42,None,FALSE,RT @thedailybeast: Donald Trump throws a tantrum over Hispanics voting legally in Nevada: https://t.co/6WnQBeyeUY https://t.co/qDTRnlU5sq,?
NH92276,11/6/2016 23:42,None,FALSE,There is not a thing to suggest Clintons have ever acted in contravention to USA. However I am deeply disturbed by Trumps Russian ties.,?
Tara_DKSmasher,11/6/2016 23:42,None,FALSE,This isnt Smash related but LOL. xD https://t.co/abKWm8N17Q,?
PoliticalMikeGB,11/6/2016 23:42,None,FALSE,@HillaryClinton @KingJames we will for Trump,?
Tediocity,11/6/2016 23:42,None,FALSE,RT @shomithe_: Holy shit get his dick out ya mouth https://t.co/419NdUxxQf,?
emina_17,11/6/2016 23:42,None,FALSE,RT @EllenPompeo: Sadly I believe women who support trump have been abused &amp; degraded on such a regular basis they think his behavior is no ,?
ClimateTreaty,11/6/2016 23:42,None,FALSE,Fact-checking Bernie Sanders: Did Donald Trump call climate change a hoax? - ABC15 Arizona https://t.co/SGVSIDWN2t,?
MsSleuth1,11/6/2016 23:42,None,FALSE,RT @realDrOlmo: The BIGGEST Star Comes Out for TRUMP!! Matthew McConaughey VOTES Trump! - https://t.co/BDQ8XxR0Li,?
__B2B_,11/6/2016 23:42,None,FALSE,Donald Trump Deporting Lin-Manuel Miranda Is A Fake Story https://t.co/C6l4HQti9T,?
jacobsmith0611,11/6/2016 23:42,None,FALSE,RT @BernieSanders: Donald Trump is proud of his assaults on women and makes fun of people with disabilities. That is not someone who should ,?
yoooostephh,11/6/2016 23:42,None,FALSE,RT @ABC: NEW: Hillary Clintons lead over Donald Trump climbs to 5 points in latest @ABC News/WaPo tracking poll ,?
kittygirlsouth,11/6/2016 23:42,None,FALSE,RT @BernieSanders: Donald Trump is proud of his assaults on women and makes fun of people with disabilities. That is not someone who should ,?
CurtRussellCol1,11/6/2016 23:42,None,FALSE,Trump  ,?
wossenebowler1,11/6/2016 23:42,None,FALSE,RT @rsultzba: NOTHING Plus Nothing 35 times over still equals NOTHING. Vote Trump we know he has done something and he is willin ,?
volleymac40,11/6/2016 23:42,None,FALSE,RT @ChatRevolve: BREAKING: Trump Street Team blows #RapeWhistle at Obama in Orlando Florida @LiveLifeCorAZy @charlespm777 ,?
NoHostagesTaken,11/6/2016 23:42,None,FALSE,RT @WesleyRickard: 11-6-2016 Last Los Angeles Times National Poll of Election 2016 puts Donald J. Trump ahead by 6 points. RT #CA #NYC ,?
kclanton0617,11/6/2016 23:42,None,FALSE,RT @Kotcha301: As I sit here just realizing the silent Trump supporters voting for him as a revolt against CrookedHillary and the system th ,?
druviergever,11/6/2016 23:42,None,FALSE,RT @GhostPanther: So FBI clears her TWICE.And six Republican led committees found ZIP on Benghazi.. Is anyone voting Trump listening? No? ,?
SireOfTheSlain,11/6/2016 23:42,None,FALSE,RT @realmarkbaxter: Early numbers show the Trump surge is real and has nothing to do w Clinton emails. Its happening. Vote on Tuesday and ,?
Blotgo,11/6/2016 23:42,None,FALSE,RT @ChatRevolve: BREAKING: Trump Street Team blows #RapeWhistle at Obama in Orlando Florida @LiveLifeCorAZy @charlespm777 ,?
emiliebarbierr,11/6/2016 23:42,None,FALSE,RT @BernieSanders: Donald Trump is proud of his assaults on women and makes fun of people with disabilities. That is not someone who should ,?
Chobeegal1982,11/6/2016 23:42,None,FALSE,RT @CapitalistWins: Lara Trump: On Fox news Women are voting based on their brains not their gender@EricTrump #TrumpTrain https://t.co/J4 ,?
dekelley14,11/6/2016 23:42,None,FALSE,RT @joelpollak: Absolutely packed rally for @realDonaldTrump near #Detroit #Michigan. #Trump team landing at airport now https://t.co/IRAy7 ,?
erotao,11/6/2016 23:42,None,FALSE,Rabbi Predicts Trump Will Win and Usher in the Second Coming https://t.co/0q9P3xxQEb via @charismamag,?
Redwhitebluetex,11/6/2016 23:42,None,FALSE,RT @WayneDupreeShow: Liberal Elderly Couple To Vote Trump After Comey Latest Clinton Decision https://t.co/caq7H9aOGm via @marianaatencio # ,?
wvufanagent99,11/6/2016 23:42,None,FALSE,RT @mitchellvii: As Trump has been saying time to #draintheswamp.,?
redrawings,11/6/2016 23:42,None,FALSE,RT @peterdaou: This is truly offensive and wrongheaded. https://t.co/pm9nlucZYu,?
grannygethealth,11/6/2016 23:42,None,FALSE,@asamjulian A vote for Hillary is a vote against America. Value your family and future. Vote TRUMP!,?
voolproof,11/6/2016 23:42,None,FALSE,RT @StefanMolyneux: The Trump situation tonight was a false alarm no gun and the protester released. The leftist violence double standar ,?
love_icydelight,11/6/2016 23:42,None,FALSE,RT @TattooedScorpio: FBI Director Comey Just Put A Trump Sign On His Front Lawn https://t.co/sFZGtjbBNp,?
Carlosbreu1,11/6/2016 23:42,None,FALSE,RT @VoteTrumpPics: God family country Michigan and Donald Trump for President. - @TedNugent#FromWhereIStand2016   #MAGA3X https://t ,?
RChlupacek,11/6/2016 23:42,None,FALSE,RT @annieH2544: If Clinton wins I will leave the country. If Trump wins I will leave the country. This is not a political joke I just wa ,?
RobotSkeleton69,11/6/2016 23:42,None,FALSE,RT @ddale8: NEW RECORD: Donald Trump said FORTY (40) false things yesterday. #TrumpCheck https://t.co/WuWcttkfpx,?
MichaelCastner,11/6/2016 23:42,None,FALSE,Bullsh-t.FBI never comments on cases.Transparent isn t his job.Pandering to press/congress NOT his job.Comments on  https://t.co/hq3plxfMe8,?
S0AKER,11/6/2016 23:42,None,FALSE,Clinton Trump even in Ohio and Florida two days before election - CBS poll - CBS News https://t.co/ZCeKFYzbxI,?
WijeCharles,11/6/2016 23:42,None,FALSE,We deserve better than you and your filth Mr. Trump Come Tuesday night please go away. #votehillary #voteblue. Get https://t.co/zK8ziKYaDI,?
patleonard123,11/6/2016 23:42,None,FALSE,RT @asamjulian: If you care anything about justice in our country you are obligated to vote for Donald Trump. No other way out of this mes ,?
KlMartin56,11/6/2016 23:42,None,FALSE,RT @TrumpPenceUSA1: This is exactly why we need Trump! This is America not a 3rd world country!! Restore law &amp; order!! #DrainTheSwamp http ,?
miglsi,11/6/2016 23:42,None,FALSE,Obama Meets With Disabled 12-Year-Old Who Was Kicked Out Of Trump Rally - The New Civil Rights Movement https://t.co/1SOyjqjmjF,?
IanMcDCD,11/6/2016 23:42,None,FALSE,RT @JohnJHarwood: Stevie Wonder on why Trump shouldnt be president: if you had emergency had to go to hospital you wouldn t want me dri ,?
sandcas57,11/6/2016 23:42,None,FALSE,RT @MNViolinist: Nothing beats driving w/ fellow Trump supporters on the crawl home on 494 honking and showing our support! Trump wi ,?
AlexisMorganSmi,11/6/2016 23:42,None,FALSE,RT @SethMacFarlane: HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoax ,?
DeplorableCynth,11/6/2016 23:42,None,FALSE,RT @dmartosko: This is not Trumps audience in Minneapolis. This is about 1/5 of the people who couldnt get in. They stayed to ch ,?
MirakhorHassan,11/6/2016 23:42,None,FALSE,Ah that biased left wing media. #Election2016 https://t.co/YD5bdbyyYA,?
JustWhatNowWhy,11/6/2016 23:42,None,FALSE,RT @KeithOlbermann: History has given us a Trump before including phony assassination attempts and empty threats to jail opponents htt ,?
GiveNoBucks,11/6/2016 23:42,None,FALSE,On the anti Trump commercials im like Man he really is a jackassOn the anti Hillary commercials im like Man she really is a cunt,?
ICook5336,11/6/2016 23:42,None,FALSE,RT @jmsexton_: BUSTED: Rudy Giuliani s law firms have received $563000 from Trump-backing super PAC https://t.co/WLGS54mvkI ,?
shokufeyesib,11/6/2016 23:42,None,FALSE,RT @RyanNewYork: Trump has the support of zero living former Presidents. https://t.co/4thIRRVNnU,?
yeodonie,11/6/2016 23:42,None,FALSE,@NoNattyForYou @Team_Irvin @SwooshMcDuck I went with Trump. Horrible choice but others obviously have no chance.,?
margaretlobrien,11/6/2016 23:42,None,FALSE,https://t.co/u6Xq35RnKK: The Trump campaign s reaction to an unarmed protester wasn t just wrong. It was scary. https://t.co/vZ6adt1InH,?
tonyk2169,11/6/2016 23:42,None,FALSE,RT @thehill: Experts acknowledge there is greater likelihood Trump could pull off a shocker https://t.co/CCbzY8NlPU https://t.co/dTg5W4dkQ6,?
richcasa,11/6/2016 23:42,None,FALSE,RT @BernieSanders: What upsets me so much is we have struggled for so many years to overcome discrimination and Trump is running his campai ,?
copstaff,11/6/2016 23:42,None,FALSE,Simple Question . Would you vote for Trump if he was a democrat: Simple Question . Would you vote for Trump if he  https://t.co/ddWIgyGMma,?
agitts12,11/6/2016 23:42,None,FALSE,RT @businessinsider: Obama roasts Trump over report that he had his Twitter account taken away https://t.co/ZujqRWoIDW https://t.co/Cqm31P2 ,?
smellslikecat88,11/6/2016 23:42,None,FALSE,RT @Stevenwhirsch99: USPS worker caught red-handed stealing a Trump sign. This is a typical Hillary supporter. Lets find this guy! ,?
delanieclark,11/6/2016 23:42,None,FALSE,RT @mariskreizman: Thank you to Donald Trump for curing my Imposter Syndrome. If he thinks hes qualified to run the country I can do what ,?
TeriJoDowns,11/6/2016 23:42,None,FALSE,Clinton gets Bey  J-Z &amp; Katy Perry. @realDonaldTrump  gets Scott B  &amp; Ted Nugget. Loser ! Sad ! https://t.co/NUCkrEsqC3,?
Bibmomma3,11/6/2016 23:42,None,FALSE,RT @PPact: Trump violates federal labor laws in refusing to negotiate with Vegas workers. He wouldnt protect your rights. ,?
GoldieSue,11/6/2016 23:42,None,FALSE,RT @occupycorruptDC: #TRUMP: SHES PROTECTED BY #RIGGED SYSTEMhttps://t.co/8QLfsUl8pn https://t.co/HgpLVtBy6q,?
DrEarlTurnerPR,11/6/2016 23:42,None,FALSE,RT @michelle4trump: Undecided voters who were contemplating whether or not the system is actually corrupt are now voting for Trump.Thank ,?
mom_of_aaa,11/6/2016 23:42,None,FALSE,RT @BernieSanders: Donald Trump is proud of his assaults on women and makes fun of people with disabilities. That is not someone who should ,?
22Fiction22,11/6/2016 23:42,None,FALSE,RT @BillKristol: Trump staffers took away his Twitter.But what profiteth a man if he gains the presidency and loses his own Twitter?https ,?
DChamps86,11/6/2016 23:42,None,FALSE,RT @YoungDems4Trump: #IfICouldChangeHistory Donald Trump would run &amp; win in 2008 sparing us the Obama disaster.Its not too late to ,?
MarkEisenman,11/6/2016 23:42,None,FALSE,RT @PpollingNumbers: CBS/YouGov PollAmong Those Who Plan Voting On Election Day:Ohio:Trump 49 (+8)Clinton 41Florida:Trump 51 (+16) ,?
shellybrackett,11/6/2016 23:42,None,FALSE,RT @jackbgoode1: Crooked has no idea what this means    -VOTE TRUMP  @DonaldTrumpVote @USFreedomArmy @Karennola719 @Jnbarke ,?
empirewaist,11/6/2016 23:42,None,FALSE,Trump supporters will declare it first stage of WWIII https://t.co/2zMG65zNfl,?
blondeprep2,11/6/2016 23:42,None,FALSE,was so close to going to see trump in leesburg later tonight,?
DKofID2020,11/6/2016 23:42,None,FALSE,RT @Carolde: Liberal Elderly Couple To Vote Trump After Comey Latest Clinton Decision @Andromodid @Hstockpicks @stephenfhayes https://t ,?
ellerdn,11/6/2016 23:42,None,FALSE,RT @hrtablaze: This man has predicted last few elections. See why he thinks Trump will win! Be of good cheer Trumpsters  in 48 ho ,?
fdimic,11/6/2016 23:42,None,FALSE,Luv it! They took away Donald Trumps toy=twitter   https://t.co/s8I7dKIVN2,?
nannyDeb64,11/6/2016 23:42,None,FALSE,HIllarys crowds numbers are not there... So if the election turns out a Hillary win then its obvious it was RIGGE  https://t.co/gO1Hfvf6vN,?
PandaBlunts,11/6/2016 23:42,None,FALSE,RT @tyleroakley: BITCH!! hes not even a politician!! hes a reality tv star!! he needs to GET   a GRIP  i SWEAR   to GOD   https://t.c ,?
dryvetyme,11/6/2016 23:42,None,FALSE,RT @The_HFM: 2016 - a shirt at a Trump rally calls for lynching journalists. https://t.co/G5znBtztQ6,?
NombleTanner,11/6/2016 23:42,None,FALSE,RT @maeveusxoxo: If Trump/Pence win on Tuesday POC women and members of the LGBTQ+ community will live in fear.Please vote wisely this T ,?
srfulton22,11/6/2016 23:42,None,FALSE,RT @NickR27: @realDonaldTrump We dont just want to win we want a landslide! Maybe thatll shut some of these big mouths up fo ,?
AlienFaerie,11/6/2016 23:42,None,FALSE,TBH with a history of Trump abusing is last two wives and his kids Im a little worried about Malania.,?
smiffdaaaa,11/6/2016 23:42,None,FALSE,What an embarrassment #Trump #Election2016,?
justonepatriot,11/6/2016 23:42,None,FALSE,RT @KellyannePolls: Late-breaking voters moving toward Trump in state &amp; natl polls. Trump seeks uptick in race s final days | TheHill ht ,?
sarablues624,11/6/2016 23:42,None,FALSE,RT @davidgregory: I mentioned this tweet earlier as example of Trump losing it. I was wrong; this is him losing it four yrs ago https://t.c ,?
HartForTrump,11/6/2016 23:42,None,FALSE,RT @newtgingrich: So the core of the election is Trump drain the swamp versus Clinton build a bigger swamp with foreign bribes-clear ch ,?
DWilloughy,11/6/2016 23:42,None,FALSE,RT @WYVeteran: FASCIST TRUMP child rape lawsuit starts 13 Dec 16 along w/24 TRUMP U fraud lawsuits runs fake charity stole $6M raised fo ,?
